local;idade;morador;BH_RMBH;uf_pais;cidade;bairro;sem_carnaval;pernoitar;quantas_pernoites;meio_de_hospedagem;transporte_chega_na_cidade;motivo_carnaval;se_nao_qual_foi;mês_viagem_bh;fonte_info_carnaval_bh;conhece_bh;motivo_viagem_1;motivo_viagem_2;motivo_viagem_3;gasto_hospedagem;gasto_atrativos;gasto_alimentacao;gasto_transporte;gasto_fatansias;gasto_compras;gasto_ingressos;gasto_outros;moeda;gasto_total;pessoas_no_gasto;gasto_percapto;dias_carnaval;gasto_medio_diario;gasto_medio_diario_per_capto;info_carnaval;carnaval_antes;opiniao_carnaval;piorou_pq;expectativas_carnaval;avaliacao_geral;banheiros;seguranca;precos;voltar_carnaval;se_nao_pq;alem_dos_blocos_1;alem_dos_blocos_2;alem_dos_blocos_3;alem_dos_blocos_4;alem_dos_blocos_5;patrocinador;genero;escolaridade;estado_civil;renda;transporte_blocos_1;transporte_blocos_2;transporte_blocos_3;apoio_LGBTQIA;faz_parte_LGBTQIA;data
SEXTA NINGUEM SABE;30;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Castelo;Sim;;;;;;;;;;;;;;;50;0;60;200;0;0;Real;310.00;1.00;310.00;4.00;77.50;77.50;Outros sites;Sim;Melhorou;;Atendeu plenamente;6;4;6;2;Sim;;Precarnaval;;;;;Alguma cerveja;Masculino;Ensino Medio completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);A pe;Onibus coletivo;Aplicativos (Uber/99/InDrive);Sim;Nao;17/02/2023
RODA DE TIMBAU;46;Visitante;Outros Estados;Rio de Janeiro;CABO FRIO;;;Sim;5;Casa propria;Aviao;Sim;;Dezembro;Ja conhece;Sim;Carnaval;;;4000;0;750;100;0;0;0;0;Real;4850.00;1.00;4850.00;5.00;970.00;970;Ja conhece;Sim;NR_NS;;Atendeu em parte;9;8;10;9;Sim;;Precarnaval;;;;;Belotur;Masculino;Ensino Superior completo;Casado(a);Acima de 10 SM (R$ 13.02001);A pe;Aplicativos (Uber/99/InDrive);;Sim;Sim;17/02/2023
SEXTA NINGUEM SABE;37;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Santa Tereza;Sim;;;;;;;;;;;;;;;100;100;0;300;0;0;Real;500.00;1.00;500.00;2.00;250.00;250;Blocos de rua;Sim;NR_NS;;Superou;10;8;7;6;Sim;;Precarnaval;Desfiles de Blocos Caricatos (segundaAv. Afonso Pena);;;;Nao sabe;Masculino;Ensino Superior completo;Solteiro(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);A pe;Aplicativos (Uber/99/InDrive);;Sim;Sim;17/02/2023
SEXTA NINGUEM SABE;27;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Nova Vista;Sim;;;;;;;;;;;;;;;70;300;0;400;0;0;Real;770.00;1.00;770.00;6.00;128.33;128.33;Outros sites;Sim;NR_NS;;Superou;10;9;4;3;Sim;;Precarnaval;;;;;Skol;Feminino;Ensino Superior completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);A pe;Aplicativos (Uber/99/InDrive);Onibus coletivo;Sim;Sim;17/02/2023
RODA DE TIMBAU;22;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Nossa Senhora de Fatima;Sim;;;;;;;;;;;;;;;3000;0;0;0;0;0;Real;3000.00;1.00;3000.00;5.00;600.00;600;Instagram;Sim;Melhorou;;Atendeu em parte;9;10;10;6;Sim;;Precarnaval;Palco Oficial Praca da Estacao;Eventos Privados;;;Belotur;Masculino;Ensino Medio completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);A pe;;;Sim;Sim;17/02/2023
RODA DE TIMBAU;42;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Santa Maria;Sim;;;;;;;;;;;;;;;500;300;100;0;0;0;Real;900.00;1.00;900.00;5.00;180.00;180;Instagram;Sim;NR_NS;;Atendeu plenamente;5;1;4;2;Sim;;Precarnaval;;;;;Ambev;Feminino;Ensino Superior completo;Solteiro(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);Aplicativos (Uber/99/InDrive);;;Sim;Nao;17/02/2023
SEXTA NINGUEM SABE;38;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Centro;Sim;;;;;;;;;;;;;;;500;100;0;500;0;0;Real;1100.00;1.00;1100.00;6.00;183.33;183.33;Instagram;Sim;NR_NS;;NR_NS;9;5;5;8;Sim;;Precarnaval;;;;;Prefeitura;Masculino;Ensino Superior completo;Casado(a);Acima de 10 SM (R$ 13.02001);Veiculo Proprio;;;Sim;Nao;17/02/2023
SEXTA NINGUEM SABE;34;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Santa Lucia;Sim;;;;;;;;;;;;;;;200;100;200;500;0;0;Real;1000.00;1.00;1000.00;3.00;333.33;333.33;www.portalbelohorizonte.com.br;Sim;NR_NS;;NR_NS;10;999999;999999;999999;Nao;Conhecer outros lugares;Nenhuma;;;;;Nao sabe;Feminino;Ensino Superior completo;Solteiro(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);Aplicativos (Uber/99/InDrive);;;Sim;Nao;17/02/2023
RODA DE TIMBAU;52;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Concordia;Sim;;;;;;;;;;;;;;;500;50;0;0;0;0;Real;550.00;1.00;550.00;5.00;110.00;110;Instagram;Sim;NR_NS;;Atendeu plenamente;10;5;10;10;Sim;;Precarnaval;;;;;Nao sabe;Feminino;Ensino Superior completo;Casado(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Veiculo Proprio;;;Sim;Sim;17/02/2023
SEXTA NINGUEM SABE;42;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Savassi;Sim;;;;;;;;;;;;;;;300;300;100;300;700;0;Real;1700.00;1.00;1700.00;3.00;566.67;566.67;Instagram;Sim;Melhorou;;Atendeu plenamente;8;8;8;3;Sim;;Precarnaval;Eventos Privados;;;;Brahma;Feminino;Posgraduacao/ Mestrado/ Doutorado completo;Solteiro(a);Acima de 10 SM (R$ 13.02001);Aplicativos (Uber/99/InDrive);;;Sim;Nao;17/02/2023
