bloquinho,idade,faixaetaria,morador,estado,ufpais,pernoitar,quantaspernoites,meiodehospedagem,transporteparacidade,mesviagem,fonteinfocarnaval,gastohospedagem,faixagastohospedagem,gastoatrativos,faixagastoatrativos,gastoalimentacao,faixagastoalimentacao,gastotransporte,faixagastotransporte,gastofatansias,faixagastofatansias,gastocompras,faixagastocompras,gastoingressos,faixagastoingressos,gastooutros,faixagastooutros,gastototal,faixagastototal,pessoas_no_gasto,gastopercapto,faixagastopercapto,diascarnaval,gastomediodiario,faixagastomediodiario,gastomediodiariopercapto,faixagastomediodiariopercapto,infocarnaval,opiniaocarnaval,pioroupq,expectativas_carnaval,avaliacao_geral,banheiros,seguranca,precos,voltarcarnaval,alemdosblocos,patrocinador,genero,escolaridade,estadocivil,renda,faixarenda,rendamedia,transporteblocos,apoioLGBTQIA,fazparteLGBTQIA,data
QUANDO COME SE LAMBUZA,42,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,2000,Muito alto,500,Médio,200,Médio,2000,Muito alto,1000,Alto,400,Médio,610000,Muito alto,2,305000,Muito alto,2,3050,Muito alto,1525,Muito alto,Instagram,,,Atendeu em parte,7,1,1,6,NR_NS,Nenhuma,Ambev,Masculino,Ensino Medio completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Nao,2023-02-18
BLOCO DA CALIXTO,32,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,500,Médio,120,Médio,200,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),82000,Muito alto,1,82000,Muito alto,4,20500,Muito alto,205,Médio,Instagram,Melhorou,,Superou,7,5,9,6,Sim,Precarnaval,Prefeitura,Masculino,Posgraduacao/ Mestrado/ Doutorado completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
QUANDO COME SE LAMBUZA,27,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,0,Muito baixo (zero),30,Baixo,100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),13000,Muito alto,1,13000,Muito alto,3,4333,Muito alto,4333,Muito alto,Instagram,,,Superou,7,3,10,0,Sim,Eventos Privados,Ambev,Feminino,Ensino Superior completo,Solteiro(a),Ate 1 SM (R$ 1.30200),Até 1 SM,1302,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
QUANDO COME SE LAMBUZA,29,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,3000,Muito alto,300,Médio,150,Médio,3000,Muito alto,0,Muito baixo (zero),0,Muito baixo (zero),645000,Muito alto,3,215000,Muito alto,4,161250,Muito alto,53750,Muito alto,www.portalbelohorizonte.com.br,Melhorou,,Superou,10,1,6,4,Sim,Nenhuma,Prefeitura,Masculino,Ensino Superior completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Veiculo Proprio,Sim,Nao,2023-02-18
BLOCO DA CALIXTO,42,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,50,Baixo,100,Baixo,0,Muito baixo (zero),150,Médio,0,Muito baixo (zero),0,Muito baixo (zero),30000,Muito alto,1,30000,Muito alto,2,150,Médio,150,Médio,Outros sites,Nem melhorou nem piorou,,Atendeu plenamente,10,7,9,8,Sim,Nenhuma,Nao sabe,Feminino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
BLOCO DA CALIXTO,33,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,300,Médio,0,Muito baixo (zero),100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),60000,Muito alto,3,20000,Muito alto,2,300,Médio,100,Baixo,Instagram,Nem melhorou nem piorou,,Atendeu plenamente,8,5,6,9,Sim,Nenhuma,Prefeitura,Feminino,Ensino Superior completo,Solteiro(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,Veiculo Proprio,Sim,Sim,2023-02-18
SEU VIZINHO,38,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,30,Baixo,500,Médio,500,Médio,700,Alto,0,Muito baixo (zero),0,Muito baixo (zero),173000,Muito alto,1,173000,Muito alto,5,34600,Muito alto,346,Médio,Outros sites,NR_NS,,Atendeu plenamente,8,2,6,4,Sim,Precarnaval,Populacao,Feminino,Ensino Superior completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-18
BLOCO DA CALIXTO,42,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,800,Alto,280,Médio,300,Médio,300,Médio,0,Muito baixo (zero),0,Muito baixo (zero),168000,Muito alto,2,84000,Muito alto,4,42000,Muito alto,210,Médio,Instagram,,,Superou,10,10,10,9,Sim,Nenhuma,Prefeitura,Masculino,Ensino Superior completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-18
SEU VIZINHO,22,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,150,Médio,100,Baixo,0,Muito baixo (zero),150,Médio,100,Baixo,0,Muito baixo (zero),50000,Muito alto,1,50000,Muito alto,3,16667,Muito alto,16667,Muito alto,Outros sites,Nem melhorou nem piorou,,Atendeu plenamente,8,7,10,6,Sim,Eventos Privados,Nao sabe,Feminino,Ensino Medio completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
BLOCO DA CALIXTO,23,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,50,Baixo,40,Baixo,0,Muito baixo (zero),50,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),14000,Muito alto,1,14000,Muito alto,2,70,Baixo,70,Baixo,Instagram,Nem melhorou nem piorou,,Atendeu em parte,7,8,3,7,Sim,Nenhuma,Nao sabe,Masculino,Ensino Medio completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Veiculo Proprio,Sim,NS/NR,2023-02-18
BLOCO DA CALIXTO,33,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,600,Alto,100,Baixo,50,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),75000,Muito alto,1,75000,Muito alto,5,15000,Muito alto,150,Médio,Instagram,Melhorou,,Atendeu plenamente,9,7,8,7,Sim,Eventos Privados,Brahma,Masculino,Ensino Superior completo,Solteiro(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-18
SEU VIZINHO,29,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,0,Muito baixo (zero),100,Baixo,100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),30000,Muito alto,1,30000,Muito alto,3,100,Baixo,100,Baixo,Instagram,Melhorou,,Atendeu plenamente,10,8,8,9,Sim,Nenhuma,Prefeitura,Feminino,Ensino Superior completo,Casado(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,A pe,Sim,Nao,2023-02-18
BLOCO DA CALIXTO,52,Meia-idade,Visitante,Minas Gerais,Brasil,Sim,6,Casa propria,Carro/Moto,Fevereiro,Amigos/Parentes,0,Muito baixo (zero),1000,Alto,1000,Alto,500,Médio,300,Médio,500,Médio,200,Médio,0,Muito baixo (zero),350000,Muito alto,4,87500,Muito alto,4,87500,Muito alto,21875,Muito alto,Outros sites,Melhorou,,Atendeu plenamente,8,10,9,8,Sim,Nenhuma,Prefeitura,Feminino,Ensino Superior completo,Viuvo(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,A pe,Sim,Nao,2023-02-18
SEU VIZINHO,32,Adulto,Visitante,Minas Gerais,Brasil,Sim,7,Casa de Amigos/Parentes,Carro/Moto,Dezembro,Amigos/Parentes,0,Muito baixo (zero),0,Muito baixo (zero),200,Médio,200,Médio,60,Baixo,400,Médio,0,Muito baixo (zero),0,Muito baixo (zero),86000,Muito alto,1,86000,Muito alto,7,12286,Muito alto,12286,Muito alto,Amigos/Parentes,NR_NS,,NR_NS,9,4,5,7,Sim,Nenhuma,Nenhum,Feminino,Ensino Superior completo,Solteiro(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
QUANDO COME SE LAMBUZA,25,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,0,Muito baixo (zero),150,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),25000,Muito alto,2,12500,Muito alto,3,8333,Muito alto,4167,Muito alto,Instagram,Melhorou,,Atendeu plenamente,9,5,8,7,Sim,Nenhuma,Prefeitura,Masculino,Posgraduacao/ Mestrado/ Doutorado completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Veiculo Proprio,Sim,Sim,2023-02-18
BLOCO DA CALIXTO,32,Adulto,Visitante,Piaui,Brasil,Sim,4,Hoteis/Pousadas,Aviao,Janeiro,Internet,800,Alto,300,Médio,400,Médio,200,Médio,0,Muito baixo (zero),200,Médio,400,Médio,0,Muito baixo (zero),230000,Muito alto,1,230000,Muito alto,4,57500,Muito alto,575,Alto,Amigos/Parentes,,,Atendeu plenamente,10,10,10,10,Sim,Eventos Privados,Prefeitura,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Solteiro(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,A pe,Sim,Nao,2023-02-18
BLOCO DA CALIXTO,34,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,300,Médio,200,Médio,0,Muito baixo (zero),300,Médio,0,Muito baixo (zero),0,Muito baixo (zero),80000,Muito alto,3,26667,Muito alto,3,26667,Muito alto,8889,Muito alto,Amigos/Parentes,Melhorou,,Atendeu plenamente,8,6,8,5,NR_NS,Nenhuma,Nao sabe,Masculino,Ensino Superior completo,Solteiro(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-18
SEU VIZINHO,34,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,100,Baixo,150,Médio,400,Médio,0,Muito baixo (zero),0,Muito baixo (zero),75000,Muito alto,1,75000,Muito alto,5,15000,Muito alto,150,Médio,Amigos/Parentes,Piorou,Infraestrutura geral,Superou,10,3,7,3,Sim,Nenhuma,Nenhum,Masculino,Ensino Superior completo,Solteiro(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Metro,Sim,Nao,2023-02-18
BLOCO DA CALIXTO,39,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,1000,Alto,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),100000,Muito alto,2,50000,Muito alto,3,33333,Muito alto,16667,Muito alto,Instagram,NR_NS,,Atendeu plenamente,10,5,7,1,Sim,Nenhuma,Cervejaria artesanal,Masculino,Ensino Superior completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,A pe,Sim,Nao,2023-02-18
BLOCO DA CALIXTO,29,Jovem,Visitante,Sao Paulo,Brasil,Sim,4,Casa de Amigos/Parentes,Onibus rodoviario,Fevereiro,Internet,0,Muito baixo (zero),0,Muito baixo (zero),600,Alto,120,Médio,0,Muito baixo (zero),200,Médio,0,Muito baixo (zero),0,Muito baixo (zero),92000,Muito alto,1,92000,Muito alto,4,23000,Muito alto,230,Médio,Instagram,,,Superou,9,7,10,5,Sim,Nenhuma,Prefeitura,Masculino,Ensino Superior completo,Solteiro(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,A pe,Sim,Nao,2023-02-18
BLOCO DA CALIXTO,43,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,20,Baixo,0,Muito baixo (zero),200,Médio,0,Muito baixo (zero),0,Muito baixo (zero),32000,Muito alto,1,32000,Muito alto,3,10667,Muito alto,10667,Muito alto,Outros sites,NR_NS,,Atendeu plenamente,7,5,6,3,Sim,Nenhuma,Prefeitura,Feminino,Ensino Superior completo,Divorciado(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Nao,2023-02-18
SEU VIZINHO,33,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,400,Médio,250,Médio,0,Muito baixo (zero),1000,Alto,0,Muito baixo (zero),0,Muito baixo (zero),165000,Muito alto,1,165000,Muito alto,5,33000,Muito alto,330,Médio,Amigos/Parentes,Nem melhorou nem piorou,,Atendeu plenamente,8,4,7,6,Sim,Nenhuma,Krug,Masculino,Ensino Superior completo,Solteiro(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-18
VOLTA BELCHIOR,59,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,0,Muito baixo (zero),38,Baixo,70,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),10800,Muito alto,3,3600,Muito alto,4,2700,Muito alto,9,Baixo,Instagram,NR_NS,,NR_NS,10,10,1,1,Sim,Nenhuma,Populacao,Feminino,Ensino Fundamental completo,Viuvo(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-18
BLOCO DA CALIXTO,29,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,50,Baixo,0,Muito baixo (zero),100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),35000,Muito alto,1,35000,Muito alto,3,11667,Muito alto,11667,Muito alto,Instagram,Nem melhorou nem piorou,,Atendeu plenamente,8,6,6,6,Sim,Nenhuma,Brahma,Masculino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Nao,2023-02-18
SEU VIZINHO,27,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,100,Baixo,50,Baixo,150,Médio,0,Muito baixo (zero),0,Muito baixo (zero),50000,Muito alto,1,50000,Muito alto,3,16667,Muito alto,16667,Muito alto,PDF da Brahma,NR_NS,,Atendeu plenamente,10,0,8,6,Sim,Nenhuma,Populacao,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Solteiro(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
BLOCO DA CALIXTO,21,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,20,Baixo,200,Médio,300,Médio,0,Muito baixo (zero),0,Muito baixo (zero),62000,Muito alto,1,62000,Muito alto,4,15500,Muito alto,155,Médio,Instagram,Melhorou,,Atendeu plenamente,8,4,7,5,Sim,Nenhuma,Prefeitura,Feminino,Ensino Medio completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Sim,2023-02-18
VOLTA BELCHIOR,34,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,50,Baixo,100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),15000,Muito alto,1,15000,Muito alto,2,75,Baixo,75,Baixo,Twitter,NR_NS,,Atendeu plenamente,7,10,6,10,Sim,Nenhuma,Ambev,Feminino,Ensino Superior completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
BLOCO DA CALIXTO,30,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,150,Médio,50,Baixo,30,Baixo,50,Baixo,20,Baixo,0,Muito baixo (zero),300,Médio,1,300,Médio,1,300,Médio,300,Médio,Outros sites,Melhorou,,Atendeu plenamente,9,3,8,1,Sim,Nenhuma,Nao respondeu,Feminino,Ensino Superior completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Veiculo Proprio,Sim,Nao,2023-02-18
BLOCO DA CALIXTO,64,Idoso,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,200,Médio,100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),50000,Muito alto,1,50000,Muito alto,5,10000,Muito alto,100,Baixo,www.portalbelohorizonte.com.br,Nem melhorou nem piorou,,Atendeu plenamente,8,6,8,8,Sim,Precarnaval,Prefeitura,Feminino,Ensino Superior completo,Casado(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,A pe,Sim,Nao,2023-02-18
SEU VIZINHO,29,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,500,Médio,100,Baixo,100,Baixo,400,Médio,0,Muito baixo (zero),0,Muito baixo (zero),110000,Muito alto,1,110000,Muito alto,4,27500,Muito alto,275,Médio,Instagram,Nem melhorou nem piorou,,Atendeu plenamente,8,10,7,10,NR_NS,Nenhuma,Ambev,Feminino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
BLOCO DA CALIXTO,37,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,150,Médio,100,Baixo,0,Muito baixo (zero),50,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),30000,Muito alto,1,30000,Muito alto,4,7500,Muito alto,75,Baixo,Instagram,Melhorou,,Atendeu plenamente,8,8,7,8,Sim,Nenhuma,Brahma,Feminino,Ensino Superior completo,Solteiro(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-18
SEU VIZINHO,30,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,160,Médio,240,Médio,0,Muito baixo (zero),400,Médio,600,Alto,0,Muito baixo (zero),140000,Muito alto,1,140000,Muito alto,4,35000,Muito alto,350,Médio,Amigos/Parentes,Nem melhorou nem piorou,,Atendeu plenamente,8,10,8,10,Sim,Eventos Privados,Skol,Masculino,Ensino Superior completo,Solteiro(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-18
