bloquinho,idade,faixaetaria,morador,estado,ufpais,pernoitar,quantaspernoites,meiodehospedagem,transporteparacidade,mesviagem,fonteinfocarnaval,gastohospedagem,faixagastohospedagem,gastoatrativos,faixagastoatrativos,gastoalimentacao,faixagastoalimentacao,gastotransporte,faixagastotransporte,gastofatansias,faixagastofatansias,gastocompras,faixagastocompras,gastoingressos,faixagastoingressos,gastooutros,faixagastooutros,gastototal,faixagastototal,pessoas_no_gasto,gastopercapto,faixagastopercapto,diascarnaval,gastomediodiario,faixagastomediodiario,gastomediodiariopercapto,faixagastomediodiariopercapto,infocarnaval,opiniaocarnaval,pioroupq,expectativas_carnaval,avaliacao_geral,banheiros,seguranca,precos,voltarcarnaval,alemdosblocos,patrocinador,genero,escolaridade,estadocivil,renda,faixarenda,rendamedia,transporteblocos,apoioLGBTQIA,fazparteLGBTQIA,data
VOLTA BELCHIOR,33,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,80,Baixo,100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),28000,Muito alto,1,28000,Muito alto,3,9333,Muito alto,9333,Muito alto,Instagram,NR_NS,,Superou,10,4,4,5,Sim,Nenhuma,Nao sabe,Feminino,Ensino Superior completo,Divorciado(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
BLOCO DA CALIXTO,32,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,300,Médio,300,Médio,50,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),65000,Muito alto,3,21667,Muito alto,4,16250,Muito alto,5417,Muito alto,www.portalbelohorizonte.com.br,Melhorou,,Atendeu em parte,10,10,10,7,Sim,Nenhuma,Cervejarias,Feminino,Ensino Superior completo,Casado(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,A pe,Sim,Nao,2023-02-18
BLOCO DA CALIXTO,53,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,1000,Alto,250,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),125000,Muito alto,2,62500,Muito alto,5,25000,Muito alto,125,Médio,Aplicativo da prefeitura,Nem melhorou nem piorou,,Atendeu plenamente,8,4,7,8,Sim,Nenhuma,Nao sabe,Masculino,Ensino Superior completo,Casado(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
SEU VIZINHO,31,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,250,Médio,0,Muito baixo (zero),300,Médio,0,Muito baixo (zero),0,Muito baixo (zero),75000,Muito alto,1,75000,Muito alto,5,15000,Muito alto,150,Médio,www.portalbelohorizonte.com.br,Piorou,Desorganizacao,Atendeu em parte,8,6,8,2,Sim,Nenhuma,Nao sabe,Feminino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-18
BLOCO DA CALIXTO,28,Jovem,Visitante,Minas Gerais,Brasil,Sim,5,Casa de Amigos/Parentes,Carro/Moto,Janeiro,Midias sociais,500,Médio,1500,Muito alto,300,Médio,150,Médio,100,Baixo,700,Alto,450,Médio,0,Muito baixo (zero),370000,Muito alto,1,370000,Muito alto,5,74000,Muito alto,740,Alto,Instagram,Melhorou,,Atendeu plenamente,9,5,4,7,Sim,Eventos Privados,Ambev,Masculino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-18
VOLTA BELCHIOR,38,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,500,Médio,100,Baixo,14,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),61400,Muito alto,2,30700,Muito alto,4,15350,Muito alto,7675,Muito alto,Aplicativo da prefeitura,NR_NS,,Atendeu plenamente,10,10,10,8,Sim,Nenhuma,Populacao,Masculino,Posgraduacao/ Mestrado/ Doutorado completo,Casado(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
SEU VIZINHO,30,Adulto,Visitante,Sao Paulo,Brasil,Sim,4,Casa de Amigos/Parentes,Onibus rodoviario,Fevereiro,Ja morou em Belo Horizonte,0,Muito baixo (zero),0,Muito baixo (zero),1000,Alto,300,Médio,0,Muito baixo (zero),500,Médio,500,Médio,0,Muito baixo (zero),230000,Muito alto,1,230000,Muito alto,4,57500,Muito alto,575,Alto,Amigos/Parentes,,,Atendeu em parte,6,1,9,8,Sim,Eventos Privados,Nao sabe,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Solteiro(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,A pe,Sim,Sim,2023-02-18
BLOCO DA CALIXTO,45,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,50,Baixo,30,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),28000,Muito alto,1,28000,Muito alto,4,7000,Muito alto,70,Baixo,Instagram,Melhorou,,Atendeu plenamente,9,6,9,8,Sim,Nenhuma,Brahma,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Nao,2023-02-18
VOLTA BELCHIOR,70,Idoso,Morador,Minas Gerais,Brasil,,,,,,,,,,,500,Médio,150,Médio,150,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),80000,Muito alto,3,26667,Muito alto,4,20000,Muito alto,6667,Muito alto,www.portalbelohorizonte.com.br,Melhorou,,Atendeu plenamente,9,10,6,7,Sim,Desfiles de Blocos Caricatos (segundaAv. Afonso Pena),Prefeitura,Feminino,Ensino Superior completo,Casado(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,Veiculo Proprio,Sim,Nao,2023-02-18
BLOCO DA CALIXTO,35,Adulto,Visitante,Minas Gerais,Brasil,Sim,5,Casa de Amigos/Parentes,Carro/Moto,Janeiro,NR_NS,0,Muito baixo (zero),0,Muito baixo (zero),300,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),30000,Muito alto,1,30000,Muito alto,3,100,Baixo,100,Baixo,Outros sites,NR_NS,,NR_NS,8,5,6,6,Sim,Nenhuma,Nao sabe,Masculino,Ensino Superior completo,Solteiro(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,Aplicativos (Uber/99/InDrive),Nao,Nao,2023-02-18
